Brand,Model,Mileage,Year,Usage,Price

acura,RDX,2500,2021,Used,25460

acura,TL,12100,2006,Used,7750

acura,MDX,3900,2020,Used,26499

acura,RDX,4900,2021,Used,24490

acura,MDX,4500,2020,Used,25439

acura,RL,21700,2009,Used,5995

acura,TSX,13200,2009,Used,7999

acura,MDX,3500,2020,Used,29990

acura,RDX,6800,2021,Used,23000

acura,TSX,38700,2011,Used,4999

acura,RL,11000,2006,Used,8995

acura,RDX,1800,2021,Used,33500

acura,MDX,15300,2009,Used,5975

acura,MDX,665,2023,Used,49580

acura,RDX,4500,nan,Used,22995

acura,RDX,6300,2021,Used,22888

acura,MDX,14700,2011,Used,8900

acura,MDX,3700,2020,Used,26250

acura,RDX,3700,2018,Used,21742

acura,RDX,2500,2021,Used,27999

acura,RL,23000,2005,Used,3990

acura,RDX,2500,2021,Used,25460

acura,NSX,100,2017,Used,151900

acura,RLX,7600,2018,Used,19975

acura,RDX,4000,2021,Used,27900

acura,RDX,5600,2021,Used,26950

acura,MDX,200,2023,Used,46695

acura,MDX,9200,2022,Used,30998

acura,RDX,10200,2014,Used,10499

acura,MDX,1900,2020,Used,27990

acura,MDX,7300,2020,Used,23182

acura,MDX,3300,2020,Used,29995

acura,RLX,4900,2015,Used,19899

acura,MDX,9300,2016,Used,16198

acura,RDX,4100,2021,Used,32151

acura,ILX,6300,2018,Used,16795

acura,RDX,15000,2007,Used,8592

acura,CL,9900,2003,Used,5995

acura,RDX,3800,nan,Used,30200

acura,RDX,9700,2017,Used,15998

acura,MDX,3100,nan,Used,38922

acura,RDX,3900,2021,Used,27698

acura,TLX,2500,2021,Used,26331

acura,MDX,3300,2020,Used,35900

acura,MDX,9200,2016,Used,18870

acura,NSX,1600,2018,Used,127596

acura,MDX,3500,2020,Used,30660

acura,TLX,20900,2015,Used,8995

acura,TL,12100,2006,Used,7750

acura,MDX,7900,2020,Used,25499

acura,MDX,4400,2022,Used,37678

acura,RDX,4800,2013,Used,15241

acura,TSX,13200,2008,Used,7300

acura,MDX,1400,nan,Used,43877

acura,RDX,3800,2021,Used,31998

acura,RDX,5900,nan,Used,28228

acura,RL,16400,2005,Used,5799

acura,MDX,3000,nan,Used,26595

acura,MDX,5500,2020,Used,28903

acura,MDX,10400,2020,Used,20995

acura,MDX,6000,2022,Used,39968

acura,RDX,4300,2021,Used,28998

acura,MDX,3200,2020,Used,27962

acura,MDX,3900,2020,Used,26499

acura,TLX,2900,2021,Used,24335

acura,ILX,3700,2021,Used,21149

acura,TLX,8100,2015,Used,14984

acura,MDX,13000,2014,Used,13888

acura,MDX,2100,2018,Used,28110

acura,MDX,15200,2016,Used,15191

